year,state_name,parameter_name,arithmetic_mean_average
2008,Country Of Mexico,PM10 Total 0-10um STP,114.80749087500001
2015,Virgin Islands,PM10 Total 0-10um STP,88.882353
2009,Country Of Mexico,PM10 Total 0-10um STP,86.288976150000011
2007,Country Of Mexico,PM10 Total 0-10um STP,85.4517849032258
2006,Country Of Mexico,PM10 Total 0-10um STP,84.7114483488372
2000,Country Of Mexico,PM10 Total 0-10um STP,83.7380516111111
2002,Country Of Mexico,PM10 Total 0-10um STP,82.558414190476185
1990,Country Of Mexico,PM10 Total 0-10um STP,82.47902725
1999,Country Of Mexico,PM10 Total 0-10um STP,82.174323
2004,Country Of Mexico,PM10 Total 0-10um STP,81.590742374999991
2014,Country Of Mexico,PM10 Total 0-10um STP,77.548130083333334
2003,Country Of Mexico,PM10 Total 0-10um STP,77.254303772727269
1997,Country Of Mexico,PM10 Total 0-10um STP,76.05053453658536
2011,Country Of Mexico,PM10 Total 0-10um STP,75.564237578947385
2016,Country Of Mexico,PM10 Total 0-10um STP,75.179919857142863
2012,Country Of Mexico,PM10 Total 0-10um STP,74.556779647058818
2013,Country Of Mexico,PM10 Total 0-10um STP,74.021349333333333
2017,Country Of Mexico,PM10 Total 0-10um STP,73.896409799999986
1998,Country Of Mexico,PM10 Total 0-10um STP,70.3790748064516
2010,Country Of Mexico,PM10 Total 0-10um STP,69.63583054999998
2005,Country Of Mexico,PM10 Total 0-10um STP,69.384880711111109
1984,Iowa,PM10 Total 0-10um STP,68.0
1983,Iowa,PM10 Total 0-10um STP,67.181818
1992,Country Of Mexico,PM10 Total 0-10um STP,67.10430475
2018,Country Of Mexico,PM10 Total 0-10um STP,66.964032555555548
1993,Country Of Mexico,PM10 Total 0-10um STP,66.916897400000011
1996,Country Of Mexico,PM10 Total 0-10um STP,66.7783975
2001,Country Of Mexico,PM10 Total 0-10um STP,65.321992921052626
1991,Country Of Mexico,PM10 Total 0-10um STP,63.1534365
1985,Washington,PM10 Total 0-10um STP,62.251026249999995
1985,Oregon,PM10 Total 0-10um STP,62.151350675675651
1994,Country Of Mexico,PM10 Total 0-10um STP,61.298907625
2015,Country Of Mexico,PM10 Total 0-10um STP,60.774811
1995,Country Of Mexico,PM10 Total 0-10um STP,60.754144000000004
2019,Country Of Mexico,PM10 Total 0-10um STP,56.3848621
1985,Arizona,PM10 Total 0-10um STP,56.21032054545455
1986,California,PM10 Total 0-10um STP,55.086333575342465
1980,District Of Columbia,Nitrogen dioxide (NO2),54.970976000000007
1980,Nevada,Nitrogen dioxide (NO2),53.3575656
1981,Nevada,Nitrogen dioxide (NO2),53.041835666666671
1987,Oregon,PM10 Total 0-10um STP,52.674842547619043
2010,Virgin Islands,PM10 Total 0-10um STP,52.643484
1988,Nevada,Nitrogen dioxide (NO2),52.5540325
1984,Maryland,PM10 Total 0-10um STP,51.868831
1986,Arizona,PM10 Total 0-10um STP,51.420491225806458
1984,Nevada,Nitrogen dioxide (NO2),50.15137416666667
1985,Utah,PM10 Total 0-10um STP,49.692252999999994
2006,Arizona,PM10 Total 0-10um STP,48.327445756249958
2007,Arizona,PM10 Total 0-10um STP,48.321138109890128
1981,Arizona,Sulfur dioxide,47.802615114285729
1985,Alaska,PM10 Total 0-10um STP,47.720499833333328
1986,Montana,PM10 Total 0-10um STP,47.4800023
1985,Nevada,PM10 Total 0-10um STP,47.400891
1986,Virginia,PM10 Total 0-10um STP,47.198542666666668
2014,Virgin Islands,PM10 Total 0-10um STP,47.0827065
